2025-08-21 10:15:07 remove linux-tools-6.8.0-78:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:07 status half-configured linux-tools-6.8.0-78:amd64 6.8.0-78.78
2025-08-21 10:15:07 status half-installed linux-tools-6.8.0-78:amd64 6.8.0-78.78
2025-08-21 10:15:07 status config-files linux-tools-6.8.0-78:amd64 6.8.0-78.78
2025-08-21 10:15:07 status not-installed linux-tools-6.8.0-78:amd64 <none>
2025-08-21 10:15:07 status installed linux-tools-common:all 6.8.0-78.78
2025-08-21 10:15:07 remove linux-tools-common:all 6.8.0-78.78 <none>
2025-08-21 10:15:07 status half-configured linux-tools-common:all 6.8.0-78.78
2025-08-21 10:15:07 status half-installed linux-tools-common:all 6.8.0-78.78
2025-08-21 10:15:07 status triggers-pending man-db:amd64 2.12.0-4build2
2025-08-21 10:15:07 status config-files linux-tools-common:all 6.8.0-78.78
2025-08-21 10:15:07 status not-installed linux-tools-common:all <none>
2025-08-21 10:15:07 startup packages configure
2025-08-21 10:15:07 trigproc man-db:amd64 2.12.0-4build2 <none>
2025-08-21 10:15:07 status half-configured man-db:amd64 2.12.0-4build2
2025-08-21 10:15:07 status installed man-db:amd64 2.12.0-4build2
2025-08-21 10:15:07 startup packages purge
2025-08-21 10:15:07 purge linux-modules-6.8.0-78-generic:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:07 status config-files linux-modules-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:08 status not-installed linux-modules-6.8.0-78-generic:amd64 <none>
2025-08-21 10:15:08 purge linux-image-6.8.0-78-generic:amd64 6.8.0-78.78 <none>
2025-08-21 10:15:08 status config-files linux-image-6.8.0-78-generic:amd64 6.8.0-78.78
2025-08-21 10:15:08 status not-installed linux-image-6.8.0-78-generic:amd64 <none>
2025-08-21 10:15:08 startup packages configure
2025-08-21 10:15:13 startup archives unpack
2025-08-21 10:15:13 install iucode-tool:amd64 <none> 2.3.1-3build1
2025-08-21 10:15:13 status half-installed iucode-tool:amd64 2.3.1-3build1
2025-08-21 10:15:13 status triggers-pending man-db:amd64 2.12.0-4build2
2025-08-21 10:15:13 status unpacked iucode-tool:amd64 2.3.1-3build1
2025-08-21 10:15:13 install linux-modules-6.14.0-1011-aws:amd64 <none> 6.14.0-1011.11~24.04.1
2025-08-21 10:15:13 status half-installed linux-modules-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:14 status unpacked linux-modules-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:14 install linux-image-6.14.0-1011-aws:amd64 <none> 6.14.0-1011.11~24.04.1
2025-08-21 10:15:14 status half-installed linux-image-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:14 status unpacked linux-image-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:14 install intel-microcode:amd64 <none> 3.20250512.0ubuntu0.24.04.1
2025-08-21 10:15:14 status half-installed intel-microcode:amd64 3.20250512.0ubuntu0.24.04.1
2025-08-21 10:15:14 status unpacked intel-microcode:amd64 3.20250512.0ubuntu0.24.04.1
2025-08-21 10:15:14 install amd64-microcode:amd64 <none> 3.20250311.1ubuntu0.24.04.1
2025-08-21 10:15:14 status half-installed amd64-microcode:amd64 3.20250311.1ubuntu0.24.04.1
2025-08-21 10:15:14 status unpacked amd64-microcode:amd64 3.20250311.1ubuntu0.24.04.1
2025-08-21 10:15:14 install microcode-initrd:amd64 <none> 3build1
2025-08-21 10:15:14 status half-installed microcode-initrd:amd64 3build1
2025-08-21 10:15:14 status unpacked microcode-initrd:amd64 3build1
2025-08-21 10:15:14 install linux-image-aws:amd64 <none> 6.14.0-1011.11~24.04.1
2025-08-21 10:15:14 status half-installed linux-image-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:14 status unpacked linux-image-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:14 install linux-aws-6.14-headers-6.14.0-1011:all <none> 6.14.0-1011.11~24.04.1
2025-08-21 10:15:14 status half-installed linux-aws-6.14-headers-6.14.0-1011:all 6.14.0-1011.11~24.04.1
2025-08-21 10:15:19 status unpacked linux-aws-6.14-headers-6.14.0-1011:all 6.14.0-1011.11~24.04.1
2025-08-21 10:15:20 install linux-headers-6.14.0-1011-aws:amd64 <none> 6.14.0-1011.11~24.04.1
2025-08-21 10:15:20 status half-installed linux-headers-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:22 status unpacked linux-headers-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:22 install linux-headers-aws:amd64 <none> 6.14.0-1011.11~24.04.1
2025-08-21 10:15:22 status half-installed linux-headers-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:22 status unpacked linux-headers-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:22 install linux-aws:amd64 <none> 6.14.0-1011.11~24.04.1
2025-08-21 10:15:22 status half-installed linux-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:22 status unpacked linux-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:22 install linux-tools-common:all <none> 6.8.0-78.78
2025-08-21 10:15:22 status half-installed linux-tools-common:all 6.8.0-78.78
2025-08-21 10:15:22 status unpacked linux-tools-common:all 6.8.0-78.78
2025-08-21 10:15:22 install linux-aws-6.14-tools-6.14.0-1011:amd64 <none> 6.14.0-1011.11~24.04.1
2025-08-21 10:15:22 status half-installed linux-aws-6.14-tools-6.14.0-1011:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:22 status unpacked linux-aws-6.14-tools-6.14.0-1011:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:22 install linux-tools-6.14.0-1011-aws:amd64 <none> 6.14.0-1011.11~24.04.1
2025-08-21 10:15:22 status half-installed linux-tools-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:22 status unpacked linux-tools-6.14.0-1011-aws:amd64 6.14.0-1011.11~24.04.1
2025-08-21 10:15:22 startup packages configure
2025-08-21 10:15:22 configure iucode-tool:amd64 2.3.1-3build1 <none>
2025-08-21 10:15:22 status unpacked iucode-tool:amd64 2.3.1-3build1
2025-08-21 10:15:22 status half-configured iucode-tool:amd64 2.3.1-3build1
2025-08-21 10:15:22 status installed iucode-tool:amd64 2.3.1-3build1
2025-08-21 10:15:22 configure intel-microcode:amd64 3.20250512.0ubuntu0.24.04.1 <none>
